Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence	source_file	map_id	linkage_group	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end
telomere1S	0.00																																			maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
K1S2	0.00																																			maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
mterf34	0.00		GRMZM2G060082	Chr1	3	3807					Zm00001d027230	Chr1	44289	49837	Zm00001eb000010	chr1	34617	40204																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
pco082477	0.01		GRMZM2G059865	Chr1	4854	9652					Zm00001d027231	Chr1	50877	55716	Zm00001eb000020	chr1	41214	46762																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb000050	0.04										Zm00001d027234	Chr1	118683	119739	Zm00001eb000050	chr1	108554	114382																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
bnlg149	0.09		GRMZM5G833153	Chr1	144957	145646					Zm00001d027239	Chr1	196942	199159	Zm00001eb000060	chr1	188559	189581																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb000070	0.09		GRMZM2G306216	Chr1	146265	147500					Zm00001d027240	Chr1	199345	205715	Zm00001eb000070	chr1	190192	198832																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
gbss2	0.10										Zm00001d027242	Chr1	209979	215403	Zm00001eb000080	chr1	200262	203393																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC103630233	0.12		GRMZM2G006376	Chr1	163371	165714					Zm00001d027244	Chr1	217904	219526	Zm00001eb000100	chr1	206619	209723																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb000110	0.13														Zm00001eb000110	chr1	246422	247242																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb000120	0.14		GRMZM2G023888	Chr1	277281	277919									Zm00001eb000120	chr1	315219	315846																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb000130	0.15		GRMZM2G023863	Chr1	272525	274767					Zm00001d027248	Chr1	328329	332172	Zm00001eb000130	chr1	318880	320662																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC103644372	0.16										Zm00001d027249	Chr1	336177	337092	Zm00001eb000140	chr1	325307	326897																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027250	0.17		GRMZM2G023794	Chr1	264626	270895					Zm00001d027250	Chr1	337772	338047	Zm00001eb000150	chr1	328087	328525																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC100276289	0.18		GRMZM2G330436	Chr1	515997	526846					Zm00001d027257	Chr1	560956	568038	Zm00001eb000170	chr1	550834	564766																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027258	0.20		GRMZM2G333069	Chr1	644611	645388					Zm00001d027258	Chr1	689056	689704	Zm00001eb000200	chr1	679957	680801																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC100278565	0.20		GRMZM2G399700	Chr1	674823	680487					Zm00001d027259	Chr1	689483	716826	Zm00001eb000190	chr1	679957	708016																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027263	0.36		GRMZM2G474694	Chr1	831120	835214					Zm00001d027263	Chr1	866251	867030																						maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
mha11	0.40		GRMZM2G172183	Chr1	983402	991117					Zm00001d027265	Chr1	1012255	1023640	Zm00001eb000210	chr1	1003108	1014318																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
si486065g06	0.41		GRMZM2G073979	Chr1	995085	997695					Zm00001d027266	Chr1	1027058	1030126	Zm00001eb000220	chr1	1018151	1020839																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
pco071167a	0.42		GRMZM2G374779	Chr1	999356	1003190					Zm00001d027267	Chr1	1031786	1036456	Zm00001eb000230	chr1	1022421	1026593																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
stp3	0.43		GRMZM2G374812	Chr1	1001050	1004936					Zm00001d027268	Chr1	1034777	1037365	Zm00001eb000240	chr1	1025166	1028066																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC103630457	0.48		GRMZM2G002121	Chr1	1175065	1175912					Zm00001d027276	Chr1	1226063	1236227	Zm00001eb000320	chr1	1217679	1222212																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
gpm923	0.50		GRMZM2G026639	Chr1	1193131	1201437					Zm00001d027277	Chr1	1231545	1236335	Zm00001eb000330	chr1	1222255	1227093																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
thk1	0.55										Zm00001d027278	Chr1	1492439	1533158	Zm00001eb000340	chr1	1483183	1523873																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027281	0.56		GRMZM2G097229	Chr1	1564786	1566049					Zm00001d027281	Chr1	1610483	1611686	Zm00001eb000370	chr1	1601134	1602423																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
expb3	0.57		GRMZM2G474194	Chr1	1662969	1664360					Zm00001d027283	Chr1	1715993	1716949	Zm00001eb000380	chr1	1706577	1707999																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
npf4	0.58		GRMZM2G161483	Chr1	1760349	1762553					Zm00001d027285	Chr1	1816514	1818676	Zm00001eb000390	chr1	1807198	1809676																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
