chr	n_markers	pos_min	pos_max	cM_min	cM_max	spearman_pos_cM	orientation	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	increasing_fraction_without_ties	decreasing_fraction_without_ties
1	1053	421394	149380659	0.0	66.2448	0.9705378917819535	increasing	280	241	531	0.5374280230326296	0.46257197696737046
2	603	2002635	174634726	0.0	68.7836	0.9794396091866843	increasing	141	123	338	0.5340909090909091	0.4659090909090909
3	1449	646959	176301757	0.0	70.1591	0.9784042434609649	increasing	351	322	775	0.5215453194650818	0.4784546805349183
4	1306	327003	207118075	0.0	95.5375	0.9866765614649153	increasing	341	305	659	0.5278637770897833	0.47213622291021673
5	1600	206543	177371502	0.0	91.8879	0.9275032691789007	increasing	414	419	766	0.4969987995198079	0.503001200480192
6	693	212384	145578543	0.0	55.4467	0.974561559930977	increasing	184	161	347	0.5333333333333333	0.4666666666666667
7	648	1628730	148671118	0.0	65.2754	0.9663348661707722	increasing	189	162	296	0.5384615384615384	0.46153846153846156
8	1327	137129	165884356	0.0	63.853	0.9820519451621965	increasing	351	310	665	0.5310136157337367	0.4689863842662632
9	1676	410451	189647266	0.0	92.6166	0.9692151654403217	increasing	477	434	764	0.5236004390779363	0.47639956092206365
10	2235	104288	181199767	0.0	85.3275	0.8992273610958017	increasing	624	612	998	0.5048543689320388	0.49514563106796117
11	1008	212496	189709107	0.0	88.5184	0.968318940832075	increasing	282	263	462	0.5174311926605505	0.48256880733944957
12	1367	760591	162461137	0.0	67.0842	0.9888049991681658	increasing	370	354	642	0.511049723756906	0.4889502762430939
13	1473	178604	172245130	0.0	69.0794	0.9728699167013546	increasing	365	330	777	0.5251798561151079	0.4748201438848921
14	1206	1092447	172476955	0.0	70.5427	0.9774046877883106	increasing	325	300	580	0.52	0.48
15	1065	1172957	175281747	0.0	76.8983	0.9780181517781456	increasing	246	221	597	0.5267665952890792	0.4732334047109208
16	1171	50622	206107788	0.0	95.4545	0.9784102044283371	increasing	297	270	603	0.5238095238095238	0.47619047619047616
17	1562	417413	194952557	0.0	74.6223	0.9725145710368245	increasing	354	315	892	0.5291479820627802	0.47085201793721976
