chr	n_bins	pos_min	pos_max	cM_min	cM_max	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	cross_chr_rows	minus_strand_rows	decreasing_examples
1	183	721626	47047410	0.239809	199.876313	180	2	0	2	1	Bin193:43698295:163.76224:src1->Bin1519:43747761:107.73877:src11;Bin197:44874383:182.744025:src1->Bin590:45555132:23.015025:src4
2	126	53092	38043332	0.000000	175.413532	121	4	0	4	3	Bin1337:3278122:29.055841:src10->Bin242:3735544:17.749298:src2;Bin310:22232930:83.015821:src2->Bin1424:24430720:32.657291:src11;Bin331:34182054:148.005025:src2->Bin1534:34261939:114.052018:src11;Bin340:36504982:163.192071:src2->Bin576:36657337:12.728184:src4
3	165	375837	40730249	0.000000	187.487722	161	3	0	1	2	Bin1503:2842843:94.321701:src11->Bin368:3036093:15.367515:src3;Bin415:14383941:77.649985:src3->Bin412:14512961:72.681659:src3;Bin413:14609264:73.164754:src3->Bin411:15181635:72.198563:src3
4	115	79301	34372641	0.000000	127.237149	109	5	0	1	5	Bin566:2226020:9.596679:src4->Bin563:2271408:8.633967:src4;Bin584:4363363:16.117128:src4->Bin581:5742682:15.154416:src4;Bin581:5742682:15.154416:src4->Bin580:6269143:14.173992:src4;Bin580:6269143:14.173992:src4->Bin578:6599979:13.451088:src4;Bin299:15032587:78.181229:src2->Bin598:15149254:33.519139:src4
5	112	136349	31045187	0.000000	116.043092	110	1	0	2	1	Bin1500:5318842:93.602275:src11->Bin728:5441833:28.97881:src5
6	132	160065	32568025	0.000000	144.412563	128	3	0	3	4	Bin1518:5678831:107.255675:src11->Bin865:5838236:30.29464:src6;Bin1509:19256026:101.792278:src11->Bin908:19666430:73.268343:src6;Bin926:23596667:85.127158:src6->Bin1363:23729981:53.61732:src10
7	76	174631	27229566	0.239809	135.407854	73	2	0	2	2	Bin1007:10795421:54.970592:src7->Bin1312:14111524:12.422928:src10;Bin1009:14206323:60.449348:src7->Bin1454:14702392:58.633656:src11
8	89	248426	30209578	0.000000	120.351252	88	0	0	0	0	
9	97	303122	21595178	0.722904	107.159809	95	1	0	1	1	Bin73:14060523:76.420191:src1->Bin1225:14241592:63.3058:src9
10	80	239170	22126567	0.000000	85.333908	79	0	0	0	0	
11	100	31033	23004714	0.239809	116.721616	95	4	0	1	6	Bin1402:1893982:15.972175:src11->Bin557:2077174:3.142019:src4;Bin1498:19085508:92.632527:src11->Bin1497:19192873:92.392718:src11;Bin1497:19192873:92.392718:src11->Bin1496:19229419:92.152909:src11;Bin1528:21222807:111.636461:src11->Bin1521:21325393:108.218387:src11
12	56	209092	22440802	0.000000	109.904004	53	1	1	2	0	Bin1526:18461568:109.904004:src11->Bin1592:18507569:77.57383:src12
