chr	pos	cM
chr01	2967161	8.698
chr01	3231168	11.907
chr01	3694828	15.768
chr01	4644404	15.567
chr01	34774889	23.267
chr01	54738958	27.244
chr01	60207942	27.828
chr01	62731262	28.149
chr01	64336038	35.392
chr01	65627217	34.892
chr01	65854890	38.926
chr01	66757200	42.021
chr01	67271838	41.733
chr01	67733812	38.902
chr01	67805574	38.905
chr01	67932856	40.083
chr01	71116443	46.775
chr01	73171679	50.623
chr01	73928936	59.934
chr01	74448862	56.522
chr01	74794275	62.3
chr01	74921059	57.545
chr01	75121299	59.529
chr01	75196506	61.635
chr01	75266586	61.148
chr01	77039028	63.763
chr01	79880009	75.174
chr01	80095734	76.519
chr01	81517833	81.408
chr01	82100630	78.463
chr01	83451642	81.476
chr01	83896183	81.579
chr01	83987313	82.021
chr01	84095795	82.017
chr01	84144580	82.023
chr01	84845644	83.125
chr01	85589930	83.267
chr01	86449536	83.709
chr02	13854680	14.037
chr02	18485069	17.27
chr02	19873304	9.702
chr02	21788784	20.452
chr02	21808866	20.269
chr02	21965487	18.876
chr02	23885399	22.668
chr02	25017414	22.273
chr02	25370147	22.448
chr02	25639644	23.334
chr02	25706037	23.433
chr02	25999493	26.967
chr02	27527543	29.406
chr02	27620643	28.867
chr02	27646352	27.157
chr02	28460955	30.435
chr02	28582692	30.371
chr02	28703842	31.795
chr02	30080945	35.092
chr02	30450017	35.561
chr02	33716215	43.862
chr02	34203746	45.178
chr02	34661319	49.569
chr02	35334126	47.129
chr02	35468438	46.584
chr02	38479345	59.058
chr02	40296554	63.435
chr02	41240921	64.916
chr02	41878492	66.529
chr02	42131765	65.395
chr02	42567199	67.77
chr02	44199967	71.022
chr02	44271733	71.402
chr02	45046071	73.462
chr03	2647267	5.423
chr03	2851481	5.21
chr03	28208377	13.38
chr03	31640737	16.443
chr03	39577744	27.871
chr03	41247283	35.853
chr03	44060650	40.788
chr03	47802793	40.788
chr03	51716524	49.929
chr03	52594978	61.505
chr03	52713842	60.839
chr03	53054120	62.36
chr03	56427199	69.398
chr03	56912914	71.847
chr03	57127483	71.2
chr03	57326019	71.514
chr03	57408932	71.008
chr03	57560149	71.278
chr04	7094613	19.481
chr04	7127130	19.381
chr04	7824438	28.251
chr04	8195239	20.794
chr04	8703882	22.411
chr04	10586974	26.401
chr04	12347963	30.875
chr04	12644502	38.503
chr04	19302965	36.725
chr04	43447691	40.204
chr04	43525521	40.2
chr04	47269331	40.831
chr04	50227241	43.118
chr04	50674993	45.15
chr04	52541427	49.216
chr04	52773387	49.975
chr04	55814875	53.409
chr04	55864113	53.406
chr04	56199106	55.627
chr04	58823229	58.849
chr04	60379241	64.567
chr04	61042106	62.407
chr04	61195999	62.959
chr04	62391020	69.8
chr04	63428072	75.44
chr04	64032193	75.766
chr04	64477959	78.714
chr04	64598435	79.5
chr04	64846870	79.5
chr04	65177035	83.886
chr04	65513708	84.498
chr04	65797678	82.372
chr04	66123270	83.162
chr04	66783619	88.566
chr04	66814329	87.999
chr04	66981576	88.867
chr04	67037168	88.718
chr04	67527578	91.264
chr04	67538822	90.601
chr04	67580640	90.981
chr04	67782718	92.286
chr04	68210423	95.613
chr04	68509887	96.133
chr04	68943378	99.734
chr05	1135681	0.0
chr05	4389823	14.666
chr05	7316844	25.697
chr05	8024295	30.434
chr05	8385142	29.911
chr05	8386983	30.081
chr05	8602330	30.653
chr05	19583215	41.173
chr05	51470172	56.967
chr05	52206315	55.528
chr05	55169241	61.677
chr06	952101	1.564
chr06	2349513	5.93
chr06	2429309	3.779
chr06	22311521	10.048
chr06	26740064	10.048
chr06	31440571	11.745
chr06	31603941	14.191
chr06	32505188	13.254
chr06	38373978	18.79
chr06	39565020	21.601
chr06	43280390	26.692
chr06	48711146	38.833
chr06	48910377	39.705
chr06	49075146	41.998
chr06	49705566	45.148
chr06	50445762	47.03
chr06	50917006	49.367
chr06	52334463	53.795
chr06	52623052	56.733
chr06	54680829	62.481
chr06	54781274	62.205
chr06	56414140	64.186
chr06	56675891	65.315
chr06	56749446	65.401
chr06	56910485	65.312
chr06	56970498	65.335
chr06	57097701	65.327
chr06	57334590	65.943
chr06	57561751	69.041
chr06	58017580	70.516
chr07	687291	2.659
chr07	707517	0.0
chr07	1964588	3.231
chr07	2550535	4.562
chr07	3303107	9.087
chr07	3407150	8.738
chr07	3960282	8.714
chr07	6096223	11.434
chr07	36788141	17.964
chr07	37737782	17.66
chr07	38834428	17.656
chr07	39206389	18.719
chr07	40931544	20.081
chr07	41802263	20.061
chr07	42805703	23.718
chr07	42924498	24.555
chr07	43259765	25.019
chr07	43596257	26.686
chr07	44340304	26.06
chr07	45917172	33.209
chr07	48814328	43.254
chr07	50710645	44.577
