map_name	chr	n_rows	n_unique_pos	n_unique_cM	pos_min	pos_max	cM_min	cM_max	spearman_pos_cM	orientation	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	increasing_fraction_without_ties	decreasing_fraction_without_ties
strict_direct_solcap	1	38	38	38	2967161	86449536	8.698	83.709	0.9899332530911478	increasing	28	9	0	0.7567567567567568	0.24324324324324326
strict_direct_solcap	2	34	34	34	13854680	45046071	9.702	73.462	0.9938884644766998	increasing	23	10	0	0.696969696969697	0.30303030303030304
strict_direct_solcap	3	18	18	17	2647267	57560149	5.21	71.847	0.964378032491486	increasing	12	4	1	0.75	0.25
strict_direct_solcap	4	44	44	43	7094613	68943378	19.381	99.734	0.996300081664381	increasing	32	10	1	0.7619047619047619	0.23809523809523808
strict_direct_solcap	5	11	11	11	1135681	55169241	0.0	61.677	0.9636363636363637	increasing	8	2	0	0.8	0.2
strict_direct_solcap	6	30	30	29	952101	58017580	1.564	70.516	0.9945488992457817	increasing	23	5	1	0.8214285714285714	0.17857142857142858
strict_direct_solcap	7	27	27	27	687291	56651862	0.0	63.806	0.9932844932844932	increasing	19	7	0	0.7307692307692307	0.2692307692307692
strict_direct_solcap	8	20	20	20	4092287	58422287	10.679	65.698	0.9969924812030074	increasing	17	2	0	0.8947368421052632	0.10526315789473684
strict_direct_solcap	9	31	31	31	831875	67360701	4.927	87.866	0.9919354838709677	increasing	25	5	0	0.8333333333333334	0.16666666666666666
strict_direct_solcap	10	24	24	24	291396	59248708	2.595	68.865	0.9921739130434782	increasing	18	5	0	0.782608695652174	0.21739130434782608
strict_direct_solcap	11	26	26	26	675706	45740690	0.759	61.922	0.967179487179487	increasing	17	8	0	0.68	0.32
strict_direct_solcap	12	10	10	10	261416	50680228	27.502	69.698	-0.9636363636363635	decreasing	3	6	0	0.3333333333333333	0.6666666666666666
liftover_extended_cigar	1	218	106	149	510709	88322820	0.0	92.982	0.9821299491235267	increasing	62	41	2	0.6019417475728155	0.39805825242718446
liftover_extended_cigar	2	231	113	151	4202319	45993317	6.462	76.036	0.9725107540763998	increasing	58	48	6	0.5471698113207547	0.4528301886792453
liftover_extended_cigar	3	154	59	92	298626	59115426	2.066	89.435	0.9290541813186144	increasing	28	27	3	0.509090909090909	0.4909090909090909
liftover_extended_cigar	4	103	77	86	3604957	68943378	11.354	99.734	0.9918957307119364	increasing	48	25	3	0.6575342465753424	0.3424657534246575
liftover_extended_cigar	5	108	55	63	475917	55169241	0.0	64.138	0.9907919090419951	increasing	33	19	2	0.6346153846153846	0.36538461538461536
liftover_extended_cigar	6	133	71	86	581390	58861652	0.539	70.516	0.9709371760108262	increasing	42	22	6	0.65625	0.34375
liftover_extended_cigar	7	94	62	79	687291	57433724	0.0	67.064	0.9921384864831184	increasing	39	20	2	0.6610169491525424	0.3389830508474576
liftover_extended_cigar	8	195	74	109	2404959	59147419	10.679	67.791	0.9803856410355769	increasing	40	31	2	0.5633802816901409	0.43661971830985913
liftover_extended_cigar	9	153	82	103	831875	67360701	4.927	87.866	0.9724137579812009	increasing	49	26	6	0.6533333333333333	0.3466666666666667
liftover_extended_cigar	10	127	69	83	291396	59277472	0.0	68.865	0.9769072282514859	increasing	40	25	3	0.6153846153846154	0.38461538461538464
liftover_extended_cigar	11	91	64	76	478455	45763473	0.759	62.862	0.9715354192010995	increasing	38	22	3	0.6333333333333333	0.36666666666666664
liftover_extended_cigar	12	81	41	53	261556	59573113	0.0	75.166	-0.9724686274358336	decreasing	9	30	1	0.23076923076923078	0.7692307692307693
hybrid_high_confidence	1	209	105	141	510709	88322820	0.0	92.982	0.9799623724717806	increasing	61	41	2	0.5980392156862745	0.4019607843137255
hybrid_high_confidence	2	228	111	149	4202319	45993317	6.462	76.036	0.9730938296560381	increasing	57	47	6	0.5480769230769231	0.4519230769230769
hybrid_high_confidence	3	153	59	91	298626	59115426	2.066	89.435	0.9277613603292665	increasing	28	27	3	0.509090909090909	0.4909090909090909
hybrid_high_confidence	4	104	78	87	3604957	68943378	11.354	99.734	0.9938040140265824	increasing	49	25	3	0.6621621621621622	0.33783783783783783
hybrid_high_confidence	5	108	55	63	475917	55169241	0.0	64.138	0.9907919090419951	increasing	33	19	2	0.6346153846153846	0.36538461538461536
hybrid_high_confidence	6	131	69	84	581390	58017580	0.539	70.516	0.969590802209645	increasing	42	20	6	0.6774193548387096	0.3225806451612903
hybrid_high_confidence	7	93	61	78	687291	57433724	0.0	67.064	0.992210429252379	increasing	38	20	2	0.6551724137931034	0.3448275862068966
hybrid_high_confidence	8	189	73	105	2404959	59147419	10.679	67.791	0.9787901757252909	increasing	40	30	2	0.5714285714285714	0.42857142857142855
hybrid_high_confidence	9	147	79	101	831875	67360701	4.927	87.866	0.9693686799090276	increasing	48	25	5	0.6575342465753424	0.3424657534246575
hybrid_high_confidence	10	126	68	82	291396	59277472	0.0	68.865	0.9765738789118076	increasing	39	25	3	0.609375	0.390625
hybrid_high_confidence	11	90	63	75	478455	45763473	0.759	62.862	0.9708716807623556	increasing	37	22	3	0.6271186440677966	0.3728813559322034
hybrid_high_confidence	12	62	38	46	261416	59573113	0.0	75.166	-0.9648742800602964	decreasing	9	27	1	0.25	0.75
