chr	pos	cM
1	2967161	8.698
1	3231168	11.907
1	3694828	15.768
1	4644404	15.567
1	34774889	23.267
1	54738958	27.244
1	60207942	27.828
1	62731262	28.149
1	64336038	35.392
1	65627217	34.892
1	65854890	38.926
1	66757200	42.021
1	67271838	41.733
1	67733812	38.902
1	67805574	38.905
1	67932856	40.083
1	71116443	46.775
1	73171679	50.623
1	73928936	59.934
1	74448862	56.522
1	74794275	62.3
1	74921059	57.545
1	75121299	59.529
1	75196506	61.635
1	75266586	61.148
1	77039028	63.763
1	79880009	75.174
1	80095734	76.519
1	81517833	81.408
1	82100630	78.463
1	83451642	81.476
1	83896183	81.579
1	83987313	82.021
1	84095795	82.017
1	84144580	82.023
1	84845644	83.125
1	85589930	83.267
1	86449536	83.709
2	13854680	14.037
2	18485069	17.27
2	19873304	9.702
2	21788784	20.452
2	21808866	20.269
2	21965487	18.876
2	23885399	22.668
2	25017414	22.273
2	25370147	22.448
2	25639644	23.334
2	25706037	23.433
2	25999493	26.967
2	27527543	29.406
2	27620643	28.867
2	27646352	27.157
2	28460955	30.435
2	28582692	30.371
2	28703842	31.795
2	30080945	35.092
2	30450017	35.561
2	33716215	43.862
2	34203746	45.178
2	34661319	49.569
2	35334126	47.129
2	35468438	46.584
2	38479345	59.058
2	40296554	63.435
2	41240921	64.916
2	41878492	66.529
2	42131765	65.395
2	42567199	67.77
2	44199967	71.022
2	44271733	71.402
2	45046071	73.462
3	2647267	5.423
3	2851481	5.21
3	28208377	13.38
3	31640737	16.443
3	39577744	27.871
3	41247283	35.853
3	44060650	40.788
3	47802793	40.788
3	51716524	49.929
3	52594978	61.505
3	52713842	60.839
3	53054120	62.36
3	56427199	69.398
3	56912914	71.847
3	57127483	71.2
3	57326019	71.514
3	57408932	71.008
3	57560149	71.278
4	7094613	19.481
4	7127130	19.381
4	7824438	28.251
4	8195239	20.794
4	8703882	22.411
4	10586974	26.401
4	12347963	30.875
4	12644502	38.503
4	19302965	36.725
4	43447691	40.204
4	43525521	40.2
4	47269331	40.831
4	50227241	43.118
4	50674993	45.15
4	52541427	49.216
4	52773387	49.975
4	55814875	53.409
4	55864113	53.406
4	56199106	55.627
4	58823229	58.849
4	60379241	64.567
4	61042106	62.407
4	61195999	62.959
4	62391020	69.8
4	63428072	75.44
4	64032193	75.766
4	64477959	78.714
4	64598435	79.5
4	64846870	79.5
4	65177035	83.886
4	65513708	84.498
4	65797678	82.372
4	66123270	83.162
4	66783619	88.566
4	66814329	87.999
4	66981576	88.867
4	67037168	88.718
4	67527578	91.264
4	67538822	90.601
4	67580640	90.981
4	67782718	92.286
4	68210423	95.613
4	68509887	96.133
4	68943378	99.734
5	1135681	0.0
5	4389823	14.666
5	7316844	25.697
5	8024295	30.434
5	8385142	29.911
5	8386983	30.081
5	8602330	30.653
5	19583215	41.173
5	51470172	56.967
5	52206315	55.528
5	55169241	61.677
6	952101	1.564
6	2349513	5.93
6	2429309	3.779
6	22311521	10.048
6	26740064	10.048
6	31440571	11.745
6	31603941	14.191
6	32505188	13.254
6	38373978	18.79
6	39565020	21.601
6	43280390	26.692
6	48711146	38.833
6	48910377	39.705
6	49075146	41.998
6	49705566	45.148
6	50445762	47.03
6	50917006	49.367
6	52334463	53.795
6	52623052	56.733
6	54680829	62.481
6	54781274	62.205
6	56414140	64.186
6	56675891	65.315
6	56749446	65.401
6	56910485	65.312
6	56970498	65.335
6	57097701	65.327
6	57334590	65.943
6	57561751	69.041
6	58017580	70.516
7	687291	2.659
7	707517	0.0
7	1964588	3.231
7	2550535	4.562
7	3303107	9.087
7	3407150	8.738
7	3960282	8.714
7	6096223	11.434
7	36788141	17.964
7	37737782	17.66
7	38834428	17.656
7	39206389	18.719
7	40931544	20.081
7	41802263	20.061
7	42805703	23.718
7	42924498	24.555
7	43259765	25.019
7	43596257	26.686
7	44340304	26.06
7	45917172	33.209
7	48814328	43.254
7	50710645	44.577
7	52098992	50.116
7	52498605	50.491
7	52974360	53.523
7	53799659	56.745
7	56651862	63.806
8	4092287	10.679
8	4596385	12.496
8	6321786	15.476
8	8091997	16.102
8	8472056	17.856
8	30025471	19.828
8	38130833	25.092
8	38300248	25.921
8	38961474	25.817
8	43117840	27.618
8	44459370	29.081
8	45919434	37.056
8	47690843	38.252
8	56271396	59.685
8	57177168	62.25
8	57274863	62.253
8	57358335	63.404
8	57690192	64.687
8	57771519	64.377
8	58422287	65.698
9	831875	4.927
9	4114138	20.566
9	34137871	39.625
9	46801848	39.514
9	54181202	45.609
9	54297084	45.817
9	54815626	46.593
9	55253949	51.48
9	55353103	56.142
9	56104281	50.736
9	56552391	54.987
9	56555736	55.203
9	56953438	55.642
9	57976818	58.667
9	58329653	61.222
9	58413779	61.264
9	58912293	60.697
9	60883822	65.375
9	61013927	65.671
9	61110298	66.79
9	61762534	66.664
9	62033713	70.956
9	62885757	72.562
9	64007875	75.748
9	64428872	76.93
9	64828084	79.161
9	66300693	82.423
9	66320339	82.536
9	66777078	87.866
9	66778416	86.542
9	67360701	86.621
10	291396	2.595
10	1614384	6.575
10	1826253	9.56
10	2346214	8.962
10	6642729	22.556
10	29688859	20.137
10	30749475	21.352
10	31387549	23.528
10	35603439	25.672
10	36968160	23.048
10	44301243	26.728
10	45867762	26.604
10	46391532	27.672
10	48174762	36.298
10	49233562	37.794
10	52087178	45.883
10	53051560	46.077
10	53142228	47.01
10	55254858	50.273
10	57342715	57.701
10	57502157	57.235
10	57586970	58.919
10	58324929	62.297
10	59248708	68.865
11	675706	7.188
11	2579325	0.759
11	3258263	3.765
11	3575362	12.567
11	3695457	4.712
11	4000873	15.715
11	4242408	5.452
11	5321940	17.585
11	6166561	8.301
11	6413576	9.381
11	8901167	26.204
11	9118092	26.74
11	9491422	27.637
11	16224599	37.27
11	37615241	36.859
11	40128268	44.569
11	40806074	48.053
11	42186332	47.372
11	42273649	50.616
11	42408537	47.907
11	43021081	53.299
11	43727992	53.878
11	43731390	53.049
11	44454708	56.684
11	45525054	58.097
11	45740690	61.922
12	261416	69.698
12	568082	69.512
12	1781003	66.841
12	3430218	60.796
12	3663191	60.994
12	4098875	50.571
12	6017006	40.012
12	7297924	44.555
12	49357724	27.502
12	50680228	28.975
